"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"1","Chief Executives",0.015226,1649,"27.3","3.4","6.0","5.6"
"2","General and Operations Managers",0.15946,949,"29.8","7.1","5.6","11.3"
"3","Advertising and Promotions Managers",0.038603,67,"56.5","7.1","1.3","4.8"
"4","Public Relations and Fundraising Managers",0.014801,62,"70.9","10.3","5.4","3.3"
"5","Administrative Services Managers",0.72613,181,"42.6","13.2","3.4","10.0"
"6","Computer and Information Systems Managers",0.03508,597,"25.5","6.2","15.2","6.7"
"7","Financial Managers",0.069185,1197,"52.5","6.9","8.3","10.3"
"8","Industrial Production Managers",0.029556,275,"23.2","4.9","9.2","7.4"
"9","Purchasing Managers",0.029851,203,"47.4","9.1","2.9","10.6"
"10","Transportation Storage and Distribution Managers",0.5911,299,"17.1","11.4","4.8","18.4"
"11","Compensation and Benefits Managers",0.95565,20,"Ð","Ð","Ð","Ð"
"12","Human Resources Managers",0.0054863,287,"74.2","13.5","4.9","11.2"
"13","Training and Development Managers",0.0063291,58,"58.5","8.3","2.1","8.5"
"14","Farmers Ranchers and Other Agricultural Managers",0.047436,1042,"24.8","1.0","1.0","4.7"
"15","Construction Managers",0.070853,812,"7.4","3.8","2.0","11.0"
"16","Architectural and Engineering Managers",0.016897,136,"5.3","4.2","10.6","3.8"
"17","Food Service Managers",0.082891,1157,"45.9","10.2","12.0","17.7"
"18","Gaming Managers",0.091154,16,"Ð","Ð","Ð","Ð"
"19","Lodging Managers",0.0039207,166,"52.2","9.7","15.8","9.0"
"20","Medical and Health Services Managers",0.0073182,593,"72.3","13.2","5.4","10.2"
"21","Natural Sciences Managers",0.017548,14,"Ð","Ð","Ð","Ð"
"22","Postmasters and Mail Superintendents",0.74537,25,"Ð","Ð","Ð","Ð"
"23","Property Real Estate and Community Association Managers",0.81014,709,"46.5","9.0","3.6","11.3"
"24","Social and Community Service Managers",0.0067236,421,"70.5","15.4","4.8","11.0"
"25","Emergency Management Directors",0.0030124,10,"Ð","Ð","Ð","Ð"
"26","Managers All Other",0.25227,4420,"34.4","7.2","6.3","10.2"
"27","Agents and Business Managers of Artists Performers and Athletes",0.24285,38,"Ð","Ð","Ð","Ð"
"28","Buyers and Purchasing Agents Farm Products",0.86984,11,"Ð","Ð","Ð","Ð"
"29","Wholesale and Retail Buyers Except Farm Products",0.29078,207,"53.1","6.4","4.4","11.8"
"30","Purchasing Agents Except Wholesale Retail and Farm Products",0.76914,272,"48.0","9.9","6.2","11.6"
"31","Compliance Officers",0.079639,270,"57.1","12.4","7.9","10.0"
"32","Cost Estimators",0.56857,113,"12.0","2.9","3.2","8.3"
"33","Logisticians",0.011679,115,"32.3","17.0","6.9","12.0"
"34","Management Analysts",0.12898,902,"41.7","9.0","10.7","7.9"
"35","Meeting Convention and Event Planners",0.03744,162,"77.6","8.6","4.5","11.1"
"36","Compensation Benefits and Job Analysis Specialists",0.46764,77,"72.1","17.8","7.2","8.5"
"37","Training and Development Specialists",0.014465,156,"60.7","12.0","3.0","10.3"
"38","Market Research Analysts and Marketing Specialists",0.61294,302,"55.0","5.0","8.8","8.3"
"39","Business Operations Specialists All Other",0.23168,290,"60.9","13.7","4.7","13.5"
"40","Accountants and Auditors",0.93506,1777,"61.3","8.5","10.9","9.0"
"41","Appraisers and Assessors of Real Estate",0.9036,73,"35.6","5.5","2.2","9.5"
"42","Budget Analysts",0.93784,53,"51.3","16.8","8.6","5.6"
"43","Credit Analysts",0.97851,27,"Ð","Ð","Ð","Ð"
"44","Financial Analysts",0.2325,307,"36.9","6.5","12.8","10.9"
"45","Personal Financial Advisors",0.58151,513,"31.6","6.0","7.7","7.1"
"46","Insurance Underwriters",0.98908,104,"62.5","9.6","6.3","4.9"
"47","Financial Examiners",0.17046,14,"Ð","Ð","Ð","Ð"
"48","Tax Examiners and Collectors and Revenue Agents",0.93449,68,"63.8","15.8","8.1","13.3"
"49","Tax Preparers",0.98712,108,"63.2","8.5","5.3","14.9"
"50","Financial Specialists All Other",0.33113,68,"55.7","16.8","5.4","13.6"
"51","Computer and Information Research Scientists",0.015059,20,"Ð","Ð","Ð","Ð"
"52","Computer Systems Analysts",0.006453,526,"35.7","10.8","17.6","6.7"
"53","Computer Programmers",0.4807,466,"22.6","7.6","19.8","6.7"
"54","Database Administrators",0.029787,90,"46.2","4.4","16.2","2.9"
"55","Network and Computer Systems Administrators",0.029618,218,"17.1","9.6","10.8","9.4"
"56","Computer Support Specialists",0.64856,570,"25.5","9.8","12.6","7.8"
"57","Actuaries",0.2059,14,"Ð","Ð","Ð","Ð"
"58","Mathematicians",0.046723,4,"Ð","Ð","Ð","Ð"
"59","Operations Research Analysts",0.034784,129,"55.4","11.2","12.9","10.4"
"60","Statisticians",0.21839,74,"52.5","8.4","19.8","3.9"
"61","Aerospace Engineers",0.01708,130,"7.8","2.6","9.3","7.3"
"62","Agricultural Engineers",0.4877,2,"Ð","Ð","Ð","Ð"
"63","Biomedical Engineers",0.037344,13,"Ð","Ð","Ð","Ð"
"64","Chemical Engineers",0.016861,79,"20.1","4.1","10.3","6.6"
"65","Civil Engineers",0.019266,425,"10.8","3.6","7.7","10.4"
"66","Computer Hardware Engineers",0.22477,69,"24.7","5.3","29.2","12.0"
"67","Environmental Engineers",0.017798,33,"Ð","Ð","Ð","Ð"
"68","Marine Engineers and Naval Architects",0.010282,13,"Ð","Ð","Ð","Ð"
"69","Materials Engineers",0.020929,31,"Ð","Ð","Ð","Ð"
"70","Mechanical Engineers",0.010554,350,"6.4","4.2","10.5","5.5"
"71","Mining and Geological Engineers Including Mining Safety Engineers",0.14045,9,"Ð","Ð","Ð","Ð"
"72","Nuclear Engineers",0.0701,7,"Ð","Ð","Ð","Ð"
"73","Petroleum Engineers",0.15728,36,"Ð","Ð","Ð","Ð"
"74","Engineers All Other",0.01407,539,"12.2","7.2","18.2","6.1"
"75","Surveying and Mapping Technicians",0.96001,83,"7.9","3.7","3.2","7.4"
"76","Atmospheric and Space Scientists",0.66783,6,"Ð","Ð","Ð","Ð"
"77","Physical Scientists All Other",0.42828,261,"45.0","4.9","26.9","9.7"
"78","Economists",0.42888,26,"Ð","Ð","Ð","Ð"
"79","Survey Researchers",0.23112,3,"Ð","Ð","Ð","Ð"
"80","Sociologists",0.058622,3,"Ð","Ð","Ð","Ð"
"81","Urban and Regional Planners",0.13067,38,"Ð","Ð","Ð","Ð"
"82","Agricultural and Food Science Technicians",0.97335,35,"Ð","Ð","Ð","Ð"
"83","Biological Technicians",0.29909,17,"Ð","Ð","Ð","Ð"
"84","Chemical Technicians",0.56585,76,"34.6","14.9","8.2","12.9"
"85","Geological and Petroleum Technicians",0.91284,18,"Ð","Ð","Ð","Ð"
"86","Nuclear Technicians",0.85212,5,"Ð","Ð","Ð","Ð"
"87","Social Science Research Assistants",0.64603,2,"Ð","Ð","Ð","Ð"
"88","Probation Officers and Correctional Treatment Specialists",0.25085,102,"57.4","21.0","1.3","14.3"
"89","Social and Human Service Assistants",0.13092,184,"80.5","21.6","2.6","14.1"
"90","Clergy",0.0080615,436,"17.6","11.8","5.9","9.1"
"91","Directors Religious Activities and Education",0.024856,78,"55.0","3.1","4.2","9.9"
"92","Lawyers",0.034587,1133,"35.7","4.4","4.7","5.6"
"93","Judicial Law Clerks",0.40884,15,"Ð","Ð","Ð","Ð"
"94","Paralegals and Legal Assistants",0.94457,433,"86.7","10.2","3.5","16.2"
"95","Postsecondary Teachers",0.032494,1420,"48.3","7.0","12.3","6.9"
"96","Librarians",0.64945,190,"83.8","7.5","5.8","7.1"
"97","Library Technicians",0.98616,37,"Ð","Ð","Ð","Ð"
"98","Teacher Assistants",0.55672,950,"89.3","14.8","3.4","17.3"
"99","Actors",0.37445,47,"Ð","Ð","Ð","Ð"
"100","Producers and Directors",0.021637,173,"38.5","3.6","4.6","6.3"
"101","Public Relations Specialists",0.17529,121,"58.9","8.2","1.7","7.3"
"102","Editors",0.054636,167,"52.4","1.9","6.6","6.0"
"103","Technical Writers",0.88834,61,"55.7","7.8","4.1","7.8"
"104","Writers and Authors",0.038364,229,"62.8","3.4","2.5","5.6"
"105","Photographers",0.021366,205,"47.7","5.7","5.7","8.4"
"106","Chiropractors",0.027286,51,"27.4","1.7","4.6","9.8"
"107","Dietitians and Nutritionists",0.0038942,120,"89.4","15.9","6.1","4.9"
"108","Optometrists",0.13727,36,"Ð","Ð","Ð","Ð"
"109","Pharmacists",0.011528,306,"59.9","10.1","18.1","4.6"
"110","Physicians and Surgeons",0.0041564,1061,"38.2","7.5","19.3","5.9"
"111","Physician Assistants",0.14484,92,"70.0","3.2","11.5","6.0"
"112","Podiatrists",0.0046499,12,"Ð","Ð","Ð","Ð"
"113","Occupational Therapists",0.0034815,118,"89.2","7.5","8.2","6.3"
"114","Physical Therapists",0.021226,290,"69.3","5.2","9.5","5.3"
"115","Radiation Therapists",0.34413,13,"Ð","Ð","Ð","Ð"
"116","Recreational Therapists",0.0027508,11,"Ð","Ð","Ð","Ð"
"117","Respiratory Therapists",0.066298,84,"73.5","8.5","5.2","8.7"
"118","Speech-Language Pathologists",0.0063625,162,"97.5","2.9","3.2","9.0"
"119","Veterinarians",0.037573,101,"63.2","2.1","3.7","0.3"
"120","Audiologists",0.0032593,15,"Ð","Ð","Ð","Ð"
"121","Health Diagnosing and Treating Practitioners All Other",0.020303,32,"Ð","Ð","Ð","Ð"
"122","Dental Hygienists",0.68482,169,"97.1","5.2","2.7","9.2"
"123","Emergency Medical Technicians and Paramedics",0.04894,194,"35.7","12.4","2.3","12.1"
"124","Licensed Practical and Licensed Vocational Nurses",0.057824,653,"90.0","30.3","4.2","10.1"
"125","Medical Records and Health Information Technicians",0.91004,184,"92.1","10.7","5.3","6.4"
"126","Opticians Dispensing",0.71059,55,"69.7","7.3","2.2","11.6"
"127","Massage Therapists",0.54141,170,"80.7","6.8","7.7","9.6"
"128","Dental Assistants",0.51441,294,"93.3","11.4","6.5","24.1"
"129","Medical Assistants",0.3003,570,"92.9","14.3","4.1","28.6"
"130","Medical Transcriptionists",0.88815,39,"Ð","Ð","Ð","Ð"
"131","Pharmacy Aides",0.71686,36,"Ð","Ð","Ð","Ð"
"132","Veterinary Assistants and Laboratory Animal Caretakers",0.86297,39,"Ð","Ð","Ð","Ð"
"133","First-Line Supervisors of Correctional Officers",0.024592,61,"34.0","23.3","2.6","17.3"
"134","First-Line Supervisors of Police and Detectives",0.0043771,114,"18.3","12.3","0.2","10.6"
"135","First-Line Supervisors of Fire Fighting and Prevention Workers",0.0035813,44,"Ð","Ð","Ð","Ð"
"136","Firefighters",0.16869,252,"3.5","6.8","1.4","7.7"
"137","Fire Inspectors and Investigators",0.47637,27,"Ð","Ð","Ð","Ð"
"138","Detectives and Criminal Investigators",0.33592,130,"23.6","6.9","4.0","7.6"
"139","Fish and Game Wardens",0.080158,9,"Ð","Ð","Ð","Ð"
"140","Parking Enforcement Workers",0.84498,8,"Ð","Ð","Ð","Ð"
"141","Police and Sheriff's Patrol Officers",0.097575,708,"14.1","12.0","2.7","16.0"
"142","Transit and Railroad Police",0.5694,2,"Ð","Ð","Ð","Ð"
"143","Animal Control Workers",0.21049,9,"Ð","Ð","Ð","Ð"
"144","Private Detectives and Investigators",0.30895,94,"44.0","11.5","4.5","6.7"
"145","Crossing Guards",0.48599,72,"60.4","26.4","1.5","15.5"
"146","Chefs and Head Cooks",0.10071,460,"21.4","14.7","11.6","23.0"
"147","First-Line Supervisors of Food Preparation and Serving Workers",0.63179,543,"57.7","15.5","5.3","17.6"
"148","Food Preparation Workers",0.87163,1000,"58.2","14.9","6.7","29.3"
"149","Bartenders",0.7682,454,"56.1","7.4","2.5","17.0"
"150","Combined Food Preparation and Serving Workers Including Fast Food",0.92427,420,"63.5","18.0","3.3","20.2"
"151","Counter Attendants Cafeteria Food Concession and Coffee Shop",0.95684,214,"67.2","11.4","5.7","18.0"
"152","Waiters and Waitresses",0.93714,2085,"70.0","9.4","6.6","20.9"
"153","Food Servers Nonrestaurant",0.8613,213,"71.3","16.3","5.7","22.5"
"154","Dining Room and Cafeteria Attendants and Bartender Helpers",0.91188,331,"42.9","15.3","6.4","27.8"
"155","Dishwashers",0.76952,319,"18.0","16.3","5.9","35.4"
"156","Hosts and Hostesses Restaurant Lounge and Coffee Shop",0.97476,319,"80.8","8.8","3.8","16.3"
"157","First-Line Supervisors of Housekeeping and Janitorial Workers",0.94439,323,"39.9","16.0","1.2","28.4"
"158","First-Line Supervisors of Landscaping Lawn Service and Groundskeeping Workers",0.57173,231,"4.6","5.1","1.0","24.6"
"159","Maids and Housekeeping Cleaners",0.68793,1485,"89.6","17.3","4.2","47.3"
"160","Pest Control Workers",0.6603,79,"2.6","6.2","0.2","14.6"
"161","First-Line Supervisors of Personal Service Workers",0.075515,191,"70.5","9.2","15.5","10.6"
"162","Animal Trainers",0.10152,61,"47.3","1.2","1.3","11.7"
"163","Nonfarm Animal Caretakers",0.81797,233,"76.9","4.7","2.4","11.7"
"164","Motion Picture Projectionists",0.97123,6,"Ð","Ð","Ð","Ð"
"165","Ushers Lobby Attendants and Ticket Takers",0.96357,40,"Ð","Ð","Ð","Ð"
"166","Barbers",0.79731,126,"11.7","39.9","3.3","19.6"
"167","Hairdressers Hairstylists and Cosmetologists",0.10715,806,"92.4","12.4","5.2","16.5"
"168","Childcare Workers",0.084206,1280,"94.4","17.1","2.8","20.9"
"169","Personal Care Aides",0.73599,1396,"84.9","24.4","10.2","20.6"
"170","Residential Advisors",0.06388,42,"Ð","Ð","Ð","Ð"
"171","First-Line Supervisors of Retail Sales Workers",0.27918,3282,"44.1","8.9","6.1","14.7"
"172","First-Line Supervisors of Non-Retail Sales Workers",0.075117,1180,"26.8","6.8","6.7","13.6"
"173","Cashiers",0.97052,3260,"73.2","17.8","7.2","20.7"
"174","Counter and Rental Clerks",0.97227,105,"46.6","14.0","3.2","22.6"
"175","Parts Salespersons",0.97843,117,"13.8","7.5","3.1","17.9"
"176","Retail Salespersons",0.92314,3312,"48.4","12.3","5.3","18.2"
"177","Advertising Sales Agents",0.5418,222,"45.5","12.0","4.0","11.7"
"178","Insurance Sales Agents",0.91901,630,"46.5","11.0","4.6","11.7"
"179","Securities Commodities and Financial Services Sales Agents",0.015762,263,"30.4","7.1","7.2","8.9"
"180","Travel Agents",0.099176,83,"84.7","2.6","10.3","11.3"
"181","Sales Engineers",0.0041398,43,"Ð","Ð","Ð","Ð"
"182","Telemarketers",0.99024,61,"64.0","34.9","4.8","19.7"
"183","Door-to-Door Sales Workers News and Street Vendors and Related Workers",0.94354,160,"62.5","9.1","3.4","22.3"
"184","First-Line Supervisors of Office and Administrative Support Workers",0.014467,1352,"68.5","11.1","4.6","13.6"
"185","Switchboard Operators Including Answering Service",0.9561,25,"Ð","Ð","Ð","Ð"
"186","Telephone Operators",0.97317,41,"Ð","Ð","Ð","Ð"
"187","Bill and Account Collectors",0.94669,152,"67.4","25.1","2.0","19.3"
"188","Billing and Posting Clerks",0.96482,452,"89.0","14.0","4.6","15.8"
"189","Bookkeeping Accounting and Auditing Clerks",0.97607,1137,"88.5","7.7","4.9","11.9"
"190","Gaming Cage Workers",0.38911,12,"Ð","Ð","Ð","Ð"
"191","Payroll and Timekeeping Clerks",0.97443,129,"90.7","10.4","8.1","13.2"
"192","Procurement Clerks",0.97951,27,"Ð","Ð","Ð","Ð"
"193","Tellers",0.98276,342,"81.7","12.5","5.3","17.5"
"194","Brokerage Clerks",0.98393,3,"Ð","Ð","Ð","Ð"
